ResourceType     Locations    Name                      Zones    Restrictions
virtualMachines  eastus       Standard_E48_v5           1,2,3    None
virtualMachines  eastus       Standard_E4bds_v5         1,2,3    None
virtualMachines  eastus       Standard_E4bs_v5          1,2,3    None
virtualMachines  eastus       Standard_E4ds_v4          1,2,3    None
virtualMachines  eastus       Standard_E4ds_v5          1,2,3    None
virtualMachines  eastus       Standard_E4d_v4           1,2,3    None
virtualMachines  eastus       Standard_E4d_v5           1,2,3    None
virtualMachines  eastus       Standard_E4pds_v5         1,2,3    None
virtualMachines  eastus       Standard_E4ps_v5          1,2,3    None
virtualMachines  eastus       Standard_E4s_v3           1,2,3    None
virtualMachines  eastus       Standard_E4s_v4           1,2,3    None
virtualMachines  eastus       Standard_E4s_v5           1,2,3    None
virtualMachines  eastus       Standard_E4_v3            1,2,3    None
virtualMachines  eastus       Standard_E4_v4            1,2,3    None
virtualMachines  eastus       Standard_E4_v5            1,2,3    None
virtualMachines  eastus       Standard_E64-16ds_v4      1,2,3    None
virtualMachines  eastus       Standard_E64-16ds_v5      1,2,3    None
virtualMachines  eastus       Standard_E64-16s_v3       1,2,3    None
virtualMachines  eastus       Standard_E64-16s_v4       1,2,3    None
virtualMachines  eastus       Standard_E64-16s_v5       1,2,3    None
virtualMachines  eastus       Standard_E64-32ds_v4      1,2,3    None
virtualMachines  eastus       Standard_E64-32ds_v5      1,2,3    None
virtualMachines  eastus       Standard_E64-32s_v3       1,2,3    None
virtualMachines  eastus       Standard_E64-32s_v4       1,2,3    None
virtualMachines  eastus       Standard_E64-32s_v5       1,2,3    None
virtualMachines  eastus       Standard_E64bds_v5        1,2,3    None
virtualMachines  eastus       Standard_E64bs_v5         1,2,3    None
virtualMachines  eastus       Standard_E64ds_v4         1,2,3    None
virtualMachines  eastus       Standard_E64ds_v5         1,2,3    None
virtualMachines  eastus       Standard_E64d_v4          1,2,3    None
virtualMachines  eastus       Standard_E64d_v5          1,2,3    None
virtualMachines  eastus       Standard_E64is_v3         1,2,3    None
virtualMachines  eastus       Standard_E64i_v3          1,2,3    None
virtualMachines  eastus       Standard_E64s_v3          1,2,3    None
virtualMachines  eastus       Standard_E64s_v4          1,2,3    None
virtualMachines  eastus       Standard_E64s_v5          1,2,3    None
virtualMachines  eastus       Standard_E64_v3           1,2,3    None
virtualMachines  eastus       Standard_E64_v4           1,2,3    None
virtualMachines  eastus       Standard_E64_v5           1,2,3    None
virtualMachines  eastus       Standard_E8-2ds_v4        1,2,3    None
virtualMachines  eastus       Standard_E8-2ds_v5        1,2,3    None
virtualMachines  eastus       Standard_E8-2s_v3         1,2,3    None
virtualMachines  eastus       Standard_E8-2s_v4         1,2,3    None
virtualMachines  eastus       Standard_E8-2s_v5         1,2,3    None
virtualMachines  eastus       Standard_E8-4ds_v4        1,2,3    None
virtualMachines  eastus       Standard_E8-4ds_v5        1,2,3    None
virtualMachines  eastus       Standard_E8-4s_v3         1,2,3    None
virtualMachines  eastus       Standard_E8-4s_v4         1,2,3    None
virtualMachines  eastus       Standard_E8-4s_v5         1,2,3    None
virtualMachines  eastus       Standard_E80ids_v4        1,2,3    None
virtualMachines  eastus       Standard_E80is_v4         1,2,3    None
virtualMachines  eastus       Standard_E8bds_v5         1,2,3    None
virtualMachines  eastus       Standard_E8bs_v5          1,2,3    None
virtualMachines  eastus       Standard_E8ds_v4          1,2,3    None
virtualMachines  eastus       Standard_E8ds_v5          1,2,3    None
virtualMachines  eastus       Standard_E8d_v4           1,2,3    None
virtualMachines  eastus       Standard_E8d_v5           1,2,3    None
virtualMachines  eastus       Standard_E8pds_v5         1,2,3    None
virtualMachines  eastus       Standard_E8ps_v5          1,2,3    None
virtualMachines  eastus       Standard_E8s_v3           1,2,3    None
virtualMachines  eastus       Standard_E8s_v4           1,2,3    None
virtualMachines  eastus       Standard_E8s_v5           1,2,3    None
virtualMachines  eastus       Standard_E8_v3            1,2,3    None
virtualMachines  eastus       Standard_E8_v4            1,2,3    None
virtualMachines  eastus       Standard_E8_v5            1,2,3    None
virtualMachines  eastus       Standard_E96-24ds_v5      1,2,3    None
virtualMachines  eastus       Standard_E96-24s_v5       1,2,3    None
virtualMachines  eastus       Standard_E96-48ds_v5      1,2,3    None
virtualMachines  eastus       Standard_E96-48s_v5       1,2,3    None
virtualMachines  eastus       Standard_E96ds_v5         1,2,3    None
virtualMachines  eastus       Standard_E96d_v5          1,2,3    None
virtualMachines  eastus       Standard_E96s_v5          1,2,3    None
virtualMachines  eastus       Standard_E96_v5           1,2,3    None
virtualMachines  eastus       Standard_EC16ads_v5       2        None
virtualMachines  eastus       Standard_EC16as_v5        2        None
virtualMachines  eastus       Standard_EC20ads_v5       2        None
virtualMachines  eastus       Standard_EC20as_v5        2        None
virtualMachines  eastus       Standard_EC2ads_v5        2        None
virtualMachines  eastus       Standard_EC2as_v5         2        None
virtualMachines  eastus       Standard_EC32ads_v5       2        None
virtualMachines  eastus       Standard_EC32as_v5        2        None
virtualMachines  eastus       Standard_EC48ads_v5       2        None
virtualMachines  eastus       Standard_EC48as_v5        2        None
virtualMachines  eastus       Standard_EC4ads_v5        2        None
virtualMachines  eastus       Standard_EC4as_v5         2        None
virtualMachines  eastus       Standard_EC64ads_v5       2        None
virtualMachines  eastus       Standard_EC64as_v5        2        None
virtualMachines  eastus       Standard_EC8ads_v5        2        None
virtualMachines  eastus       Standard_EC8as_v5         2        None
virtualMachines  eastus       Standard_EC96ads_v5       2        None
virtualMachines  eastus       Standard_EC96as_v5        2        None
virtualMachines  eastus       Standard_EC96iads_v5      2        None
virtualMachines  eastus       Standard_EC96ias_v5       2        None
virtualMachines  eastus       Standard_F1               1,2,3    None
virtualMachines  eastus       Standard_F16              1,2,3    None
virtualMachines  eastus       Standard_F16s             1,2,3    None
virtualMachines  eastus       Standard_F16s_v2          1,2,3    None
virtualMachines  eastus       Standard_F1s              1,2,3    None
virtualMachines  eastus       Standard_F2               1,2,3    None
virtualMachines  eastus       Standard_F2s              1,2,3    None
